,text,clean
0,BabalaTV'desiniz...,babalatv
1,Pinç Yılbaşı Özel 2024 Yayında… @GainMedya https://piped.kavin.rocks/1ckbINikCzs?si=dBrUPc6lK1eIkgjS,pinç yılbaşı özel yayında
2,Atatürk bir tartışma konusu değildir. Aması fakatı yoktur!,atatürk tartışma konusu değildir aması fakatı yoktur
3,"Günaydınlar ☀️ Mevzular Açık Mikrofon 19. Bölüm konuğumuz Prof. Dr. Naci Görür. Konumuz deprem. İnşaat sektöründen isimler, akademisyenler ve depremzedelerimiz de salonda söz hakkı alacak. Sizin de sorunuz varsa ve katılım sağlamak isterseniz @BabalaTv hesaplarından paylaşılacak olan katılım postuna #sorumvar etiketiyle yorum yapınız. #mevzularaçıkmikrofon",günaydınlar mevzular açık mikrofon bölüm konuğumuz prof naci görür konumuz deprem inşaat sektöründen isimler akademisyenler depremzedelerimiz salonda söz hakkı alacak sorunuz varsa katılım sağlamak isterseniz hesaplarından paylaşılacak katılım postuna etiketiyle yorum yapınız
4,"Acımız büyük! Pençe-Kilit Harekatı bölgesinde şehit olan askerlerimize Allah’tan rahmet, yakınlarına ve milletimize başsağlığı dileriz.",acımız büyük pençekilit harekatı bölgesinde şehit askerlerimize allah rahmet yakınlarına milletimize başsağlığı dileriz
5,Ekonomik döngüleri konuştuğumuz Ekonomi 101 yayında… @TheBullduck https://piped.kavin.rocks/MA2yiMtIGWI?si=ZgRX5FGHej0MXC8f,ekonomik döngüleri konuştuğumuz ekonomi yayında
6,Mevzular Açık Mikrofon 18.Bölüm “Kara Para” İlk Tanıtım. #mevzularaçıkmikrofon #gain @feyzaltun @emrullaherdinc @muratagirel,mevzular açık mikrofon bölüm kara para tanıtım
7,"Mevzular Açık Mikrofon’da soru sormak isterseniz bu postun altına #sorumvar yazın ve ekip arkadaşlarımız size ulaşsın.  -Mevzular Açık Mikrofon ‘Kara Para’ Feyza Altun, Murat Ağırel ve Emrullah Erdinç’in katılımıyla gerçekleşecektir.  -Programda İstediğiniz Soruyu Sorabilirsiniz.  -Listede ismi bulunmayan salona kesinlikle alınmayacaktır.  -Profillerinizin Açık Olması Gerekmektedir.  -Konum ve Saat bilgisi davetiye üzerinden paylaşılacaktır.",mevzular açık mikrofon soru sormak isterseniz postun altına yazın ekip arkadaşlarımız ulaşsın mevzular açık mikrofon kara para feyza altun murat ağırel emrullah erdinç katılımıyla gerçekleşecektir programda istediğiniz soruyu sorabilirsiniz listede ismi bulunmayan salona kesinlikle alınmayacaktır profillerinizin açık olması gerekmektedir konum saat bilgisi davetiye üzerinden paylaşılacaktır
8,"196 farklı üniversiteden binlerce öğrencinin katılım gösterdiği ""Sosyal Medya Kanaat Önderleri"" araştırmasında, birçok kategoride ilk sıralarda olmamıza katkı sağlayan tüm öğrenci kardeşlerimize teşekkür ederiz!",farklı üniversiteden binlerce öğrencinin katılım gösterdiği sosyal medya kanaat önderleri araştırmasında kategoride sıralarda olmamıza katkı sağlayan öğrenci kardeşlerimize teşekkür ederiz
9,P!NÇ (Gerçekten) Yayında… https://piped.kavin.rocks/UxfExtu98qM?si=18o94kxd_-KgIIMT,pnç gerçekten yayında
