,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/BabalaTv/status/1650875464230027270#m,BabalaTV'desiniz...,"Apr 25, 2023 · 2:52 PM UTC",26665.0,919.0
1,https://twitter.com/BabalaTv/status/1741562405757366767#m,Pinç Yılbaşı Özel 2024 Yayında… @GainMedya https://piped.kavin.rocks/1ckbINikCzs?si=dBrUPc6lK1eIkgjS,"Dec 31, 2023 · 8:50 PM UTC",90.0,4.0
2,https://twitter.com/OguzhanUgur/status/1740750783363326175#m,Atatürk bir tartışma konusu değildir. Aması fakatı yoktur!,"Dec 29, 2023 · 3:05 PM UTC",206380.0,1101.0
3,https://twitter.com/OguzhanUgur/status/1740607770649309304#m,"Günaydınlar ☀️ Mevzular Açık Mikrofon 19. Bölüm konuğumuz Prof. Dr. Naci Görür. Konumuz deprem. İnşaat sektöründen isimler, akademisyenler ve depremzedelerimiz de salonda söz hakkı alacak. Sizin de sorunuz varsa ve katılım sağlamak isterseniz @BabalaTv hesaplarından paylaşılacak olan katılım postuna #sorumvar etiketiyle yorum yapınız. #mevzularaçıkmikrofon","Dec 29, 2023 · 5:36 AM UTC",2117.0,115.0
4,https://twitter.com/BabalaTv/status/1738644651395907606#m,"Acımız büyük! Pençe-Kilit Harekatı bölgesinde şehit olan askerlerimize Allah’tan rahmet, yakınlarına ve milletimize başsağlığı dileriz.","Dec 23, 2023 · 7:36 PM UTC",3352.0,84.0
5,https://twitter.com/BabalaTv/status/1732803165395861752#m,Ekonomik döngüleri konuştuğumuz Ekonomi 101 yayında… @TheBullduck https://piped.kavin.rocks/MA2yiMtIGWI?si=ZgRX5FGHej0MXC8f,"Dec 7, 2023 · 4:44 PM UTC",53.0,12.0
6,https://twitter.com/OguzhanUgur/status/1732298234406527317#m,Mevzular Açık Mikrofon 18.Bölüm “Kara Para” İlk Tanıtım. #mevzularaçıkmikrofon #gain @feyzaltun @emrullaherdinc @muratagirel,"Dec 6, 2023 · 7:17 AM UTC",19171.0,866.0
7,https://twitter.com/BabalaTv/status/1730188688846360746#m,"Mevzular Açık Mikrofon’da soru sormak isterseniz bu postun altına #sorumvar yazın ve ekip arkadaşlarımız size ulaşsın.  -Mevzular Açık Mikrofon ‘Kara Para’ Feyza Altun, Murat Ağırel ve Emrullah Erdinç’in katılımıyla gerçekleşecektir.  -Programda İstediğiniz Soruyu Sorabilirsiniz.  -Listede ismi bulunmayan salona kesinlikle alınmayacaktır.  -Profillerinizin Açık Olması Gerekmektedir.  -Konum ve Saat bilgisi davetiye üzerinden paylaşılacaktır.","Nov 30, 2023 · 11:35 AM UTC",425.0,141.0
8,https://twitter.com/BabalaTv/status/1729902560352313596#m,"196 farklı üniversiteden binlerce öğrencinin katılım gösterdiği ""Sosyal Medya Kanaat Önderleri"" araştırmasında, birçok kategoride ilk sıralarda olmamıza katkı sağlayan tüm öğrenci kardeşlerimize teşekkür ederiz!","Nov 29, 2023 · 4:38 PM UTC",801.0,62.0
9,https://twitter.com/BabalaTv/status/1727392680110354719#m,P!NÇ (Gerçekten) Yayında… https://piped.kavin.rocks/UxfExtu98qM?si=18o94kxd_-KgIIMT,"Nov 22, 2023 · 6:24 PM UTC",333.0,26.0
